delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_status,delivery_cost
250.99,ekart,furniture,van,two day,south,cold,3.6,8.75,Delivered,95.6674
250.99,xpressbees,documents,van,standard,east,rainy,111,36.68,Delivered,665.04
250.99,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,Delayed,1432.59
250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,Delivered,1049.98
250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,Delivered,1045.27
250.99,amazon logistics,furniture,ev bike,standard,central,cold,125,39.41,Delivered,743.23
250.99,dhl,fragile items,bike,two day,north,hot,83.3,34.71,Delivered,520.63
250.99,ecom express,clothing,van,standard,west,foggy,193.2,33.28,Delivered,1065.84
250.99,ekart,clothing,van,two day,east,foggy,174.3,47.29,Delivered,1013.37
250.99,ekart,groceries,bike,same day,west,clear,11.4,40.22,Delivered,277.66
250.99,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,Delayed,1016.88
250.99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,Delivered,1062.21
250.99,blue dart,groceries,truck,express,west,stormy,111.2,37.33,Delayed,717.99
250.99,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,Delivered,729.91
250.99,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,Delivered,1323.84
250.99,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,Delivered,738.52
250.99,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,Delivered,494.92
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,Delivered,1322.21
250.99,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,Delivered,1632.7206
250.99,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,Delivered,412.45
250.99,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,Delivered,657.46
250.99,fedex,furniture,scooter,same day,north,hot,3.6,31.41,Delivered,203.23
250.99,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,Delayed,898.65
250.99,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,Delivered,560.07
250.99,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,Delayed,1305.19
250.99,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,Delivered,1376.46
250.99,fedex,electronics,scooter,standard,west,clear,35.7,10.8,Delivered,210.9
250.99,fedex,documents,van,express,central,stormy,259.3,27.01,Delayed,1427.53
250.99,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,Delivered,561.77
250.99,delhivery,cosmetics,van,express,south,clear,93.1,20.89,Delivered,578.17
250.99,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,Delivered,1425.33
250.99,ekart,furniture,truck,two day,west,clear,110.2,23.24,Delivered,620.72
250.99,blue dart,documents,bike,standard,west,clear,6,0.88,Delivered,95.6674
250.99,dhl,furniture,truck,two day,east,foggy,16.5,21.49,Delivered,146.97
250.99,xpressbees,documents,ev van,standard,north,cold,102,18.67,Delivered,566.01
250.99,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,Delayed,1424.88
250.99,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,Delivered,183.79
250.99,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,Delivered,320.87
250.99,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,Delivered,1588.78
250.99,delhivery,clothing,scooter,standard,east,rainy,124,40.2,Delivered,740.6
250.99,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,Delivered,1434.54
250.99,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,Delivered,618.71
250.99,shadowfax,groceries,ev bike,express,east,hot,156,14.49,Delivered,873.47
250.99,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,Delivered,1463.55
250.99,fedex,clothing,truck,same day,north,cold,287,8.21,Delayed,1559.63
250.99,delhivery,electronics,van,two day,north,foggy,50.5,31.28,Delivered,346.34
250.99,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,Delivered,1039
250.99,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,Delivered,799.09
250.99,ekart,groceries,scooter,two day,east,cold,45.8,27.22,Delivered,310.66
250.99,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,Delivered,245.29
250.99,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,Delivered,909.11
250.99,dhl,automobile parts,ev van,same day,south,rainy,29,40.89,Delivered,367.67
250.99,dhl,furniture,scooter,standard,north,clear,281.6,19.81,Delivered,1467.43
250.99,ecom express,electronics,van,same day,east,stormy,75.7,41.47,Delayed,602.91
250.99,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,Delivered,705.04
250.99,ekart,cosmetics,truck,standard,west,rainy,218.2,34,Delivered,1193
250.99,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,Delayed,845.38
250.99,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,Delivered,734.85
250.99,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,Delivered,1038.84
250.99,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,Delivered,422.39
250.99,ekart,documents,truck,same day,south,foggy,147.7,46.57,Delivered,978.21
250.99,amazon logistics,cosmetics,truck,two day,north,cold,289,48.99,Delivered,1591.97
250.99,delhivery,pharmacy,van,express,north,cold,235.6,42.35,Delayed,1355.05
250.99,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,Delivered,634.78
250.99,ekart,groceries,truck,two day,central,cold,273.9,42.56,Delivered,1497.18
250.99,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,Delivered,1401.08
250.99,ekart,groceries,van,two day,east,clear,82.2,18.81,Delivered,467.43
250.99,dhl,clothing,truck,same day,south,cold,280.3,15.29,Delivered,1547.37
250.99,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,Delayed,938.86
250.99,blue dart,groceries,van,same day,west,clear,279.9,21.63,Delayed,1564.39
250.99,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,Delayed,1056.6
250.99,fedex,electronics,van,two day,central,cold,29.9,47.31,Delivered,291.43
250.99,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,Delivered,346.65
250.99,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,Delivered,819.43
250.99,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,Delivered,174.48
250.99,dhl,documents,ev bike,two day,east,hot,230.8,30.01,Delivered,1244.03
250.99,dhl,clothing,bike,express,west,clear,93,9.37,Delivered,543.11
250.99,dhl,electronics,van,two day,west,clear,10.4,4.59,Delivered,95.6674
250.99,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,Delivered,981.76
250.99,ekart,documents,scooter,express,west,rainy,182.1,2.26,Delayed,967.28
250.99,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,Delivered,316.67
250.99,dhl,groceries,bike,two day,north,cold,55.2,6.78,Delivered,296.34
250.99,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,Delayed,1299.58
250.99,delhivery,electronics,truck,express,west,hot,46.2,14.83,Delivered,325.49
250.99,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,Delivered,163.39
250.99,xpressbees,groceries,scooter,express,north,hot,297.1,22,Delivered,1615.5
250.99,xpressbees,electronics,bike,express,central,hot,87.8,7.72,Delivered,512.16
250.99,xpressbees,groceries,truck,express,central,hot,267.4,11.53,Delayed,1421.59
250.99,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,Delivered,656.52
250.99,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,Delivered,1519.4
250.99,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,Delivered,767.02
250.99,ecom express,fragile items,van,same day,south,foggy,225,7.32,Delayed,1246.96
250.99,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,Delivered,1521.58
250.99,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,Delivered,550.21
250.99,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,Delivered,240.22
250.99,fedex,automobile parts,van,standard,west,hot,135.1,37.59,Delivered,788.27
250.99,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,Delivered,1159.92
250.99,fedex,documents,truck,express,north,rainy,169.6,41.44,Delayed,1022.32
250.99,fedex,fragile items,van,express,central,foggy,250.7,29.97,Delayed,1393.41
250.99,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,Delivered,404.76
250.99,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,Delivered,230.07
250.99,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,Delivered,434.23
250.99,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,Delivered,349.97
250.99,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,Delivered,624.11
250.99,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,Delivered,619.11
250.99,shadowfax,fragile items,ev bike,same day,north,foggy,71,32.56,Delivered,552.68
250.99,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,Delivered,314.08
250.99,ecom express,fragile items,scooter,two day,north,cold,157,43.03,Delivered,914.09
250.99,delhivery,groceries,van,same day,east,cold,213.7,49.52,Delivered,1317.81
250.99,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,Delayed,1451.52
250.99,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,Delayed,539.56
250.99,dhl,fragile items,truck,express,central,foggy,198.5,20.1,Delivered,1102.8
250.99,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,Delayed,948.68
250.99,dhl,documents,truck,same day,north,clear,265.3,31.8,Delivered,1521.9
250.99,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,Delayed,1162.49
250.99,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,Delayed,468
250.99,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,Delivered,538.48
250.99,fedex,clothing,bike,same day,east,stormy,187.7,6.69,Delayed,1058.57
250.99,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,Delivered,1196.49
250.99,xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,Delayed,174.12
250.99,ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,Delivered,1060.03
250.99,ekart,electronics,van,express,central,foggy,52,43.18,Delayed,439.54
250.99,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,Delayed,1608.49
250.99,ekart,automobile parts,van,same day,north,cold,289.2,16.14,Delayed,1594.42
250.99,xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,Delivered,1427.26
250.99,amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,Delayed,1519.87
250.99,fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,Delayed,1624.36
250.99,xpressbees,groceries,van,express,east,hot,86.5,37.04,Delivered,593.62
250.99,ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,Delayed,900.03
250.99,delhivery,clothing,ev van,standard,central,rainy,41,29.25,Delivered,292.75
250.99,delhivery,documents,van,standard,central,foggy,137.4,27.87,Delivered,770.61
250.99,fedex,clothing,ev bike,standard,north,clear,32.3,46.58,Delivered,301.24
250.99,ecom express,fragile items,van,express,central,clear,207.8,40.12,Delayed,1209.36
250.99,blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,Delivered,155.2
250.99,fedex,cosmetics,ev bike,standard,south,clear,258,37.92,Delivered,1403.76
250.99,xpressbees,automobile parts,van,same day,north,cold,255.6,18.93,Delivered,1434.79
250.99,blue dart,clothing,scooter,standard,north,cold,289.7,19.13,Delivered,1505.89
250.99,xpressbees,automobile parts,ev van,express,north,rainy,9.1,45.65,Delayed,232.45
250.99,ekart,clothing,truck,standard,west,foggy,245.8,4.19,Delivered,1241.57
250.99,amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,Delivered,469.01
250.99,shadowfax,cosmetics,ev bike,standard,central,rainy,59.6,20.84,Delivered,360.52
250.99,fedex,fragile items,bike,express,east,hot,225.4,22.3,Delivered,1243.9
250.99,blue dart,clothing,scooter,express,south,clear,36.9,45.45,Delayed,370.85
250.99,fedex,automobile parts,ev van,same day,central,stormy,262.9,31.73,Delayed,1509.69
250.99,amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,Delivered,1399.6
250.99,delhivery,electronics,ev van,two day,east,hot,167.2,35.91,Delivered,943.73
250.99,xpressbees,pharmacy,van,express,south,hot,127.4,3.49,Delivered,697.47
250.99,fedex,fragile items,ev van,standard,central,foggy,267,26.49,Delivered,1414.47
250.99,xpressbees,furniture,truck,same day,south,cold,214,34.34,Delivered,1273.02
250.99,shadowfax,groceries,bike,same day,east,stormy,10.6,42.68,Delivered,281.04
250.99,dhl,documents,scooter,same day,central,rainy,124.2,1.02,Delivered,724.06
250.99,ekart,furniture,ev van,two day,north,stormy,129.5,13.38,Delivered,687.64
250.99,shadowfax,automobile parts,scooter,express,south,foggy,257,10.83,Delayed,1367.49
250.99,blue dart,pharmacy,scooter,two day,south,hot,264.9,43.16,Delivered,1453.98
250.99,shadowfax,cosmetics,bike,two day,west,stormy,163.5,19.83,Delivered,876.99
250.99,delhivery,fragile items,truck,same day,north,hot,34.6,47.42,Delivered,415.26
250.99,shadowfax,fragile items,ev bike,two day,north,rainy,183.1,38.15,Delivered,1029.95
250.99,shadowfax,groceries,ev van,standard,south,clear,138.7,43.15,Delivered,822.95
250.99,delhivery,cosmetics,ev van,same day,south,foggy,127.5,41.92,Delivered,863.26
250.99,xpressbees,documents,ev van,standard,west,clear,295.3,8.06,Delivered,1500.68
250.99,dhl,pharmacy,ev van,express,central,foggy,297.1,2.64,Delayed,1551.92
250.99,amazon logistics,documents,truck,same day,east,foggy,123.5,29.37,Delayed,805.61
250.99,delhivery,automobile parts,ev bike,standard,south,stormy,280.4,3.78,Delivered,1413.34
251,blue dart,cosmetics,truck,express,west,hot,74.1,28.64,Delayed,506.42
252,fedex,pharmacy,bike,express,west,cold,58.9,11.97,Delivered,380.41
253,blue dart,furniture,bike,standard,north,clear,197.4,47.42,Delivered,1129.26
254,ekart,furniture,bike,same day,central,foggy,150.6,22.4,Delivered,920.2
255,shadowfax,fragile items,van,two day,east,hot,224,31.45,Delivered,1214.35
256,blue dart,documents,van,two day,west,rainy,33.9,29.91,Delivered,259.23
257,xpressbees,fragile items,truck,two day,north,cold,145.2,46.17,Delivered,864.51
258,delhivery,documents,truck,two day,central,stormy,204.9,41.15,Delivered,1147.95
259,blue dart,clothing,van,standard,central,foggy,150.8,39.64,Delivered,872.92
260,shadowfax,cosmetics,ev bike,standard,central,clear,86.6,16.17,Delivered,481.51
261,amazon logistics,cosmetics,ev van,standard,east,stormy,150.7,17.56,Delivered,806.18
262,blue dart,groceries,scooter,two day,north,clear,176,18.92,Delivered,936.76
263,ekart,pharmacy,scooter,standard,east,rainy,165.6,18.69,Delivered,884.07
264,ecom express,cosmetics,ev van,two day,west,foggy,170.2,44.12,Delivered,983.36
265,ecom express,fragile items,ev van,express,east,clear,133.4,24.33,Delayed,789.99
266,shadowfax,automobile parts,scooter,same day,east,clear,100,33.34,Delivered,700.02
267,fedex,fragile items,truck,two day,south,cold,22.1,11.47,Delivered,144.91
268,dhl,groceries,truck,two day,west,foggy,14.9,49.35,Delivered,222.55
269,shadowfax,documents,truck,standard,east,clear,160.6,48.08,Delivered,947.24
270,shadowfax,electronics,ev van,express,west,rainy,257.8,30.28,Delayed,1429.84
271,ekart,pharmacy,bike,standard,north,stormy,235.9,46.05,Delivered,1317.65
272,delhivery,pharmacy,truck,express,south,cold,161.3,41.74,Delivered,981.72
273,blue dart,cosmetics,scooter,express,central,foggy,192.2,4.85,Delayed,1025.55
274,ecom express,electronics,ev bike,two day,west,rainy,293,48.5,Delivered,1610.5
275,dhl,cosmetics,truck,same day,west,foggy,290.2,15.21,Delayed,1596.63
276,fedex,fragile items,ev bike,standard,east,hot,297.1,10.39,Delivered,1523.17
277,fedex,cosmetics,ev van,express,east,clear,5.9,49.52,Delivered,228.09
278,amazon logistics,furniture,ev bike,same day,west,stormy,191.2,5.3,Delayed,1071.9
279,delhivery,electronics,ev van,same day,west,foggy,223.8,32.15,Delayed,1315.45
280,delhivery,furniture,ev bike,two day,east,cold,31.8,46.64,Delivered,298.92
281,ekart,pharmacy,truck,standard,central,foggy,109.6,49.52,Delivered,696.68
282,fedex,pharmacy,van,two day,south,stormy,50.4,43.7,Delivered,383.1
283,xpressbees,pharmacy,van,two day,south,hot,116,45.04,Delivered,715.12
284,fedex,furniture,van,standard,west,hot,132.9,24.05,Delivered,736.65
285,dhl,furniture,truck,same day,west,clear,54.3,47.84,Delivered,515.02
286,ecom express,documents,ev bike,same day,east,foggy,149.3,9.87,Delivered,876.11
287,blue dart,pharmacy,van,two day,central,clear,57.1,12.91,Delivered,324.23
288,shadowfax,documents,truck,standard,central,clear,276.8,10.69,Delivered,1416.07
289,fedex,furniture,van,standard,south,foggy,51.7,34.82,Delivered,362.96
290,fedex,groceries,truck,two day,west,foggy,154.3,1.91,Delivered,777.23
291,amazon logistics,cosmetics,ev bike,standard,central,hot,103.9,11.4,Delivered,553.7
292,ekart,automobile parts,van,express,central,hot,127.4,22.72,Delayed,755.16
293,ecom express,pharmacy,van,express,east,cold,117.4,18.36,Delivered,692.08
294,ekart,clothing,scooter,same day,west,rainy,293.6,0.67,Delayed,1569.17
295,fedex,cosmetics,van,express,west,stormy,199.4,11.71,Delayed,1082.13
296,fedex,documents,van,two day,central,clear,15.6,2.87,Delivered,95.6674
297,amazon logistics,electronics,bike,standard,south,foggy,250.7,11.8,Delivered,1288.9
298,dhl,clothing,ev van,same day,north,clear,164.1,25.8,Delivered,997.9
299,ekart,automobile parts,ev van,same day,west,cold,35.8,18.21,Delivered,333.63
300,delhivery,groceries,scooter,same day,west,stormy,142,41.28,Delivered,933.84
301,dhl,clothing,ev van,standard,central,clear,40.9,19.04,Delivered,261.62
302,amazon logistics,clothing,scooter,express,north,foggy,167.7,20.09,Delayed,948.77
303,delhivery,pharmacy,van,two day,north,hot,111.8,15.89,Delivered,606.67
304,ecom express,cosmetics,bike,same day,east,hot,21,8,Delivered,229
305,fedex,groceries,truck,standard,west,hot,196.4,10.26,Delivered,1012.78
306,blue dart,electronics,van,same day,central,stormy,70.8,46.37,Delayed,593.11
307,ekart,groceries,scooter,two day,west,cold,230.1,25.52,Delivered,1227.06
308,fedex,pharmacy,scooter,two day,west,cold,271.2,45.63,Delivered,1492.89
309,ekart,clothing,ev van,standard,south,foggy,73.6,30.03,Delivered,458.09
310,delhivery,documents,ev bike,standard,east,cold,92.4,17.36,Delivered,514.08
311,shadowfax,electronics,bike,standard,north,hot,14.9,49.46,Delivered,222.88
312,xpressbees,furniture,bike,express,west,clear,145,3.55,Delayed,785.65
313,blue dart,clothing,bike,two day,north,hot,252.2,46.23,Delivered,1399.69
314,ekart,clothing,scooter,express,north,rainy,33.9,21.07,Delayed,282.71
315,ekart,clothing,ev bike,two day,north,cold,51.2,39.62,Delivered,374.86
316,shadowfax,cosmetics,bike,standard,central,rainy,223.6,40.23,Delivered,1238.69
317,xpressbees,furniture,scooter,two day,north,foggy,191.8,15.48,Delivered,1005.44
318,xpressbees,automobile parts,bike,two day,south,cold,60.6,4.14,Delivered,315.42
319,ecom express,groceries,truck,two day,central,hot,52.2,39.45,Delivered,379.35
320,xpressbees,clothing,ev bike,same day,north,clear,22.1,36.84,Delivered,321.02
321,ekart,clothing,truck,same day,east,cold,6.3,13.42,Delivered,171.76
322,delhivery,automobile parts,ev van,standard,north,foggy,127.4,42.36,Delivered,764.08
323,shadowfax,pharmacy,ev bike,two day,east,stormy,33.2,27.73,Delivered,249.19
324,ecom express,documents,ev bike,same day,central,clear,88.3,38.22,Delivered,656.16
325,ecom express,pharmacy,scooter,same day,south,clear,262.3,23.86,Delivered,1483.08
326,ekart,pharmacy,ev van,express,east,foggy,15.8,4.79,Delivered,143.37
327,ekart,clothing,truck,standard,central,foggy,239.2,4.47,Delivered,1209.41
328,delhivery,cosmetics,bike,same day,east,clear,115.1,33.73,Delivered,776.69
